Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
26500	14	31	0	20	1	0	3	46317	8	0	0	29115	6	28702	1	46543	0	65561	0	83434	23642
26750	100	21	0	8	0	0	1	45521	5	0	0	29411	3	28893	1	46991	1	66136	0	67641	24302
27000	18	10	1	6	0	0	0	45920	10	0	0	29619	0	29193	0	47456	6	66820	0	67820	24208
27250	9	21	0	3	1	4	0	46689	111	0	0	30065	3	29480	0	48016	58	69031	0	68489	24352
27500	23	21	0	6	0	0	0	48722	10	1	0	30224	0	29774	0	48588	1166	70664	0	75251	24711
27750	36	21	0	120	111	1	0	50644	4	0	0	30524	115	30047	0	49138	25	70813	0	69373	24738
28000	19	19	0	10	0	0	1	48141	12	0	0	30731	0	30267	3	49472	42	69354	0	77786	24993
28250	112	13	0	3	0	0	0	51745	5	1	0	31074	4	30547	1	50344	0	70178	0	86541	26261
28500	16	9	0	0	1	0	0	49312	7	0	0	31409	1	30790	0	50898	58	70620	0	71641	25573
28750	17	10	0	8	0	9	0	48970	32	0	0	31516	3	31239	0	51118	1	71426	0	76104	25875
29000	29	8	0	3	0	7	0	49104	94	0	0	31825	0	32053	0	52412	0	73457	0	75259	26342
29250	48	22	0	0	0	0	0	49424	6	195	0	32142	0	31809	0	55041	58	73297	0	77589	27010
29500	41	10	1	2	0	0	1	49839	8	0	0	33287	1	31974	0	54155	0	78430	0	95116	29280
29750	171	17	0	111	100	12	0	50179	2	0	0	33540	94	32383	0	53439	7	81820	0	108459	26768
30000	67	13	0	3	2	2	0	50753	6	1	0	33864	5	32444	1	54163	34	74949	0	91219	27586
30250	55	12	0	2	0	2	3	51189	8	0	0	35785	0	32957	0	55096	1	76444	0	74596	29175
30500	48	15	1	8	0	1	0	51449	97	0	0	34597	1	32984	0	55386	8	76302	0	89698	32171
30750	58	17	0	1	32	2	0	53292	8	0	0	34686	0	33165	0	56071	1	75997	0	76357	29864
31000	54	18	1	1	2	0	0	55116	3	0	0	34990	0	34017	0	54589	8	76575	0	90650	27769
31250	146	13	0	4	18	11	1	54251	11	1	0	35200	8	34699	0	54795	7	77318	0	83638	27919
31500	64	13	0	8	0	1	0	56318	14	1	0	35446	1	34922	1	55372	0	83283	0	90243	28205
31750	65	15	0	99	97	1	0	54203	10	0	0	35830	97	34564	0	55942	6	78809	0	86088	28762
32000	60	23	0	0	1	1	0	54904	10	0	0	36063	1	34677	0	56613	35	79566	0	80042	28899
32250	60	79	0	5	1	6	1	55686	97	0	0	36311	0	34956	53	56662	50	79855	0	109236	29150
32500	55	20	0	0	0	0	0	56081	4	4	0	36257	2	35266	0	57080	7	80339	0	111755	29484
32750	176	21	0	2	3	0	0	58560	10	0	0	36425	3	35651	0	57532	1	80939	1	107743	29860
33000	114	21	0	0	1	0	1	56299	2430	4	0	36719	1	35863	3	58533	54	81757	5	117077	30931
33250	57	13	0	6	1	0	0	57659	2	1	0	36368	0	36132	0	59724	0	82285	0	123957	29927
33500	49	20	0	1	5	0	0	57811	1	1	0	36774	1	36443	0	59586	2	83252	0	126824	33279
33750	43	15	1	95	100	3	0	57534	0	0	0	37823	92	36666	0	64394	8	84515	0	122824	36921
34000	49	18	0	5	1	0	0	61344	92	0	0	39952	0	36829	0	69333	29	84250	0	135311	31122
34250	151	15	0	1	0	0	136	58723	1	0	0	38924	0	37204	0	62924	7	86010	0	130494	30686
34500	46	14	0	1	1	0	0	59922	2	1	0	41501	2	37399	0	61192	0	86414	0	98004	30864
34750	47	19	0	3	1	0	0	58381	3	0	0	40052	1	37887	0	63269	32	86177	0	106491	31210
35000	49	18	0	1	0	0	0	60460	3	0	0	40072	0	39424	0	64578	7	86585	0	116321	31439
35250	50	88	0	0	2	1	1	61725	1	0	0	38789	1	38364	0	66113	0	87256	0	133842	31684
35500	46	20	0	0	0	5	0	60850	29	1	0	39237	1	38677	0	67644	7	90436	0	121956	31817
35750	133	22	1	115	89	1	0	61631	0	6	0	39407	93	39030	0	69985	0	88364	0	117889	31958
