Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
79250	113	151	0	8	20	0	0	382347	11	4	0	507070	7	495828	1	419183	24	276472	1	233300	138950
79500	197	155	0	0	3	1	1	499185	10	4	0	501458	1	539749	0	439625	8	225066	0	230123	119127
79750	97	156	0	1	1	0	0	515962	5	3	0	501754	5	586163	0	402500	6	240905	0	228209	119051
80000	94	161	0	1	0	1	0	522316	108	1	0	514058	1	554657	1	404846	7	227471	0	231296	119685
80250	87	177	0	105	102	1	0	442938	12	3	0	524004	104	462163	1	431139	7	241896	0	245993	119429
80500	93	164	0	1	1	1	0	439103	7	9	0	509413	0	567306	2	394390	6	232564	0	235728	122992
80750	88	167	0	4	1	0	0	432619	12	4	0	554638	4	541176	0	441296	8	228815	0	239978	122587
81000	184	175	0	0	2	0	0	415589	9	4	0	520486	0	545326	0	415822	36	233352	0	238737	120511
81250	96	161	1	1	1	0	0	450782	9	356	0	536135	4	472689	0	458432	7	242836	0	247133	133312
81500	99	164	0	0	2	1	0	412713	13	4	0	526382	2	519959	0	454021	62	234668	1	246369	134372
81750	89	160	0	0	1	0	0	442993	107	3	0	545552	4	479993	0	407470	6	232058	1	235530	123546
82000	93	548	0	1	3	0	1	419314	11	3	0	558605	2	540048	0	476598	8	236740	1	238151	123221
82250	91	168	0	107	104	2	1	417182	9	4	0	560730	109	492292	1	466517	6	239034	1	238410	124483
82500	254	162	0	18	18	0	2	442922	66	7	0	562583	17	580692	0	477748	60	326964	0	253623	126202
82750	87	173	0	1	1	0	0	418672	11	3	0	567599	4	578644	1	426045	7	250227	0	238728	127026
83000	84	180	0	3	11	0	0	463439	14	2	0	581131	6	687036	0	448042	39	251284	0	247870	132112
83250	93	164	0	1	3	0	0	426894	111	4	0	548440	3	582277	0	456801	7	299276	9	279270	139201
83500	84	162	0	0	2	0	0	462242	7	2	0	619840	3	581261	0	445380	8	253189	1	277559	143416
83750	90	162	0	1	0	0	0	432412	9	5	0	541613	3	675625	0	458379	9	335984	0	244440	128118
84000	195	185	0	1	0	0	0	434281	11	2	0	569461	2	552100	0	442352	6	408050	1	246798	128335
84250	93	161	0	104	102	0	0	472062	7	9	0	565815	106	564265	0	472129	7	405345	0	247384	127859
84500	90	163	0	1	3	0	1	450648	8	6	0	550211	4	567725	2	454302	6	368304	2	260708	129260
84750	95	169	0	1	2	0	0	466283	9	4	0	570208	1	599213	0	457344	59	260151	0	250088	130361
85000	85	165	0	4	1	0	0	446887	110	4	0	590261	2	677880	0	482159	37	289486	0	258385	129808
85250	89	170	0	2	1	0	0	475245	8	7	0	606788	5	649921	0	463564	6	274337	0	247137	133388
85500	210	178	0	2	1	0	0	452140	15	6	0	573848	4	623512	0	478827	6	253379	0	259873	149439
85750	88	173	0	0	0	0	0	476920	13	7	0	599533	2	541381	0	470988	10	253109	0	258706	131489
86000	101	178	0	2	0	0	0	476097	9	5	0	594658	3	601460	0	477801	7	260777	0	250114	134067
86250	93	171	0	107	124	185	0	460656	13	8	0	585027	133	596858	0	473163	33	250095	0	253608	132865
86500	88	183	0	1	0	0	3	489435	6	8	0	585072	2	624268	0	474740	59	252059	1	276588	135441
86750	93	165	0	1	2	0	0	490186	111	3	0	587396	0	646472	0	502665	6	252937	0	258862	135262
87000	193	155	0	0	0	0	0	529806	10	6	0	615507	1	654645	0	490450	38	256742	0	255675	149441
87250	97	173	0	2	1	0	0	502828	12	9	0	588787	1	606024	0	514155	6	258981	0	254196	165619
87500	86	170	0	1	1	1	0	527610	7	7	0	649211	3	548446	0	502075	6	270010	0	260156	141304
87750	99	164	0	0	0	0	0	489147	10	7	0	686541	3	651198	0	513556	9	259753	0	264619	136495
88000	81	189	0	0	1	0	0	696818	7	7	0	650772	2	748858	0	481538	6	264776	0	257431	136277
88250	80	165	0	107	100	0	1	637557	109	7	0	630097	105	588610	1	518379	8	263874	0	258136	139627
88500	217	191	0	23	6	0	0	593644	15	4	0	662886	11	633041	3	473120	16	279974	0	260968	137954
88750	109	177	0	3	0	0	0	542803	13	4	0	695141	3	580354	1	522996	7	293161	0	277145	142141
89000	101	170	0	0	2	0	0	532662	10	4	0	682999	2	669644	0	486094	6	322994	0	260060	138910
89250	93	167	0	1	3	0	0	514688	7	7	0	764282	3	590523	1	566309	38	335979	0	267371	158972
89500	91	174	0	1	1	0	0	544976	13	7	0	685747	1	630643	1	524246	7	312853	0	267388	140156
89750	86	180	0	0	1	0	0	531233	9	4	0	737124	5	631327	0	532243	8	269437	0	272713	139755
90000	221	170	0	1	0	0	0	542006	129	4	0	932589	5	591763	1	522153	7	286281	0	264001	145421
90250	94	179	0	104	103	2	0	642699	15	2	0	919992	109	666960	0	536747	15	267943	0	265288	142886
90500	140	174	0	1	1	0	4	731101	14	4	0	719150	2	611910	2	517567	6	283510	0	268766	142393
90750	112	187	0	1	2	0	0	627028	19	5	0	753081	3	694936	1	583039	7	275371	0	277136	144874
91000	105	193	0	1	0	0	0	749983	14	10	0	776149	2	692337	0	509746	60	276591	0	288394	159866
